ID,Breed,Age ,Sex,Neuter,Case,Date of diagnosis,Reason for presentation,BCS at diagnosis (1-9),Last recorded BCS (1-9),Heart Murmur,HM first recorded,Grade of heart murmur,Gallop rhythm,Date first detected,Arrhythmia,Date first detected,Goitre,Vaccination,Previous exposure to nephrotoxic drugs,NSAID treatment,Date of last exposure to drug,Previous anaesthetic,Date of last anaesthetic,FeLV status,FIV status,Previous exposure to lilies,Previous exposure to ethylene glycol,Previous AKI,Hyperthyroidism,Periodontal disease,Arthritis,Cystitis/FLUTD,Cardiomyopathy,Retinopathy,Cat bite abscess,Polycystic kidney disease,Pyelonephritis,hepatopathy,obesity,constipation,Diabetes Mellitus,Primary Aldosteronism,Urethral obstruction
1,Crossbreed,?9,Female,Neutered,Case,2/5/13,Other,,,FALSE,,,FALSE,,FALSE,,Not recorded,Regular,None recorded,,,None recorded,,Not tested,Not tested,None recorded,None recorded,None recorded,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,Purebreed,?9,Male,,Case,3/19/12,Not recorded,,,FALSE,,,FALSE,,FALSE,,Not recorded,None recorded,None recorded,,,None recorded,,Not tested,Not tested,None recorded,None recorded,None recorded,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
3,Crossbreed,?9,Male,Neutered,Case,1/30/12,Clinical signs,,,TRUE,10/8/09,5,FALSE,,FALSE,,FALSE,None recorded,NSAID,Repeated one off treatment,5/7/11,None recorded,,Not tested,Not tested,None recorded,None recorded,None recorded,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
4,Crossbreed,?9,Female,Neutered,Case,6/19/12,Other,,,TRUE,1/25/10,3,TRUE,1/25/10,FALSE,,FALSE,Regular,NSAID,Long term treatment,12/31/13,None recorded,,Not tested,Not tested,None recorded,None recorded,None recorded,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5,Crossbreed,?9,Male,,Case,5/10/12,Other,,,TRUE,11/13/09,1,TRUE,5/10/12,FALSE,,TRUE,Kitten/ Irregular,NSAID,One-off treatment,12/1/09,Yes,12/1/09,Not tested,Not tested,None recorded,None recorded,None recorded,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6,Crossbreed,?9,Female,,Case,1/12/12,Geriatric Health clinic,,,FALSE,,,FALSE,,FALSE,,Not recorded,Kitten/ Irregular,None recorded,,,None recorded,,Not tested,Not tested,None recorded,None recorded,None recorded,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7,Crossbreed,?9,Female,Neutered,Case,3/16/12,Other,,,Not recorded,,,Not recorded,,Not recorded,,Not recorded,Kitten/ Irregular,NSAID,One-off treatment,7/8/11,None recorded,,Negative,Negative,None recorded,None recorded,None recorded,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8,Crossbreed,?9,Male,Neutered,Case,3/16/13,Geriatric Health clinic,,,Not recorded,,,Not recorded,,Not recorded,,Not recorded,Regular,NSAID,Repeated one off treatment,6/25/12,Yes,6/25/12,Not tested,Not tested,None recorded,None recorded,None recorded,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9,Crossbreed,?9,Male,,Case,11/19/12,Geriatric Health clinic,,,FALSE,,,FALSE,,FALSE,,FALSE,Regular,None recorded,,,None recorded,,Not tested,Not tested,None recorded,None recorded,None recorded,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10,Crossbreed,<9,Female,Neutered,Case,10/11/13,Geriatric Health clinic,,,FALSE,,,FALSE,,FALSE,,FALSE,Regular,None recorded,,,None recorded,,Not tested,Not tested,None recorded,None recorded,None recorded,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
